HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds,Available ICU Beds,Potentially Available ICU Beds,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care
"Saginaw, MI",2396.00,208.00,962.00,1679.00,63.00,136.00,489824.00,124235.00,97965.00,20974.00,4658.00
"Salem, OR",487.00,64.00,154.00,321.00,10.00,37.00,255161.00,50897.00,51032.00,10663.00,2302.00
"Salinas, CA",740.00,70.00,290.00,515.00,37.00,54.00,303247.00,51843.00,60649.00,12508.00,2657.00
"Salisbury, MD",598.00,59.00,187.00,392.00,26.00,43.00,371513.00,100254.00,74303.00,16022.00,3587.00
"Salt Lake City, UT",3999.00,526.00,1804.00,2902.00,277.00,402.00,1552687.00,249737.00,310537.00,63747.00,13464.00
"San Angelo, TX",584.00,35.00,323.00,454.00,17.00,26.00,126084.00,26085.00,25217.00,5287.00,1146.00
"San Antonio, TX",6234.00,747.00,2477.00,4356.00,216.00,482.00,2191766.00,376149.00,438353.00,90434.00,19219.00
"San Bernardino, CA",5691.00,690.00,2125.00,3908.00,231.00,460.00,2406889.00,366977.00,481378.00,98434.00,20690.00
"San Diego, CA",6178.00,802.00,1949.00,4064.00,358.00,580.00,3005567.00,497077.00,601113.00,123656.00,26186.00
"San Francisco, CA",3776.00,439.00,1139.00,2458.00,203.00,321.00,1272753.00,236390.00,254551.00,52856.00,11323.00
"San Jose, CA",2547.00,341.00,916.00,1731.00,146.00,244.00,1456607.00,234573.00,291321.00,59808.00,12634.00
"San Luis Obispo, CA",390.00,54.00,202.00,296.00,33.00,44.00,213703.00,46965.00,42741.00,9013.00,1967.00
"San Mateo County, CA",1555.00,198.00,452.00,1003.00,88.00,143.00,666874.00,128195.00,133375.00,27777.00,5972.00
"Santa Barbara, CA",858.00,82.00,246.00,552.00,35.00,59.00,359828.00,67153.00,71966.00,14949.00,3204.00
"Santa Cruz, CA",359.00,22.00,169.00,264.00,6.00,14.00,229413.00,39590.00,45883.00,9470.00,2014.00
"Santa Rosa, CA",1272.00,93.00,306.00,789.00,45.00,69.00,402885.00,88435.00,80577.00,16990.00,3707.00
"Sarasota, FL",1309.00,159.00,604.00,957.00,77.00,118.00,374960.00,156791.00,74992.00,17228.00,4122.00
"Savannah, GA",2050.00,163.00,650.00,1350.00,55.00,109.00,701923.00,139656.00,140385.00,29327.00,6328.00
"Sayre, PA",591.00,62.00,215.00,403.00,28.00,45.00,153089.00,36987.00,30618.00,6520.00,1439.00
"Scranton, PA",782.00,65.00,324.00,553.00,31.00,48.00,253817.00,63450.00,50763.00,10851.00,2405.00
"Seattle, WA",4700.00,651.00,1366.00,3033.00,209.00,430.00,2421217.00,421176.00,484243.00,100009.00,21282.00
"Shreveport, LA",2468.00,283.00,1080.00,1774.00,111.00,197.00,531003.00,109269.00,106201.00,22254.00,4820.00
"Sioux City, IA",909.00,59.00,362.00,635.00,23.00,41.00,195685.00,41561.00,39137.00,8226.00,1788.00
"Sioux Falls, SD",4065.00,103.00,1653.00,2859.00,52.00,77.00,603563.00,129561.00,120713.00,25397.00,5527.00
"Slidell, LA",536.00,137.00,338.00,437.00,70.00,103.00,149492.00,32656.00,29898.00,6301.00,1374.00
"South Bend, IN",1273.00,148.00,551.00,912.00,70.00,109.00,539539.00,108077.00,107908.00,22556.00,4871.00
"Spartanburg, SC",809.00,125.00,280.00,545.00,65.00,95.00,300991.00,64361.00,60198.00,12660.00,2754.00
"Spokane, WA",3652.00,355.00,1657.00,2655.00,134.00,245.00,1210559.00,251604.00,242112.00,50782.00,11011.00
"Springdale, AR",1144.00,135.00,616.00,880.00,73.00,104.00,437572.00,77638.00,87514.00,18103.00,3860.00
"Springfield, IL",2426.00,213.00,1172.00,1799.00,79.00,146.00,637463.00,146057.00,127493.00,26999.00,5921.00
"Springfield, MA",1588.00,195.00,500.00,1044.00,73.00,134.00,600306.00,123079.00,120061.00,25150.00,5445.00
"Springfield, MO",2078.00,226.00,819.00,1449.00,67.00,147.00,688462.00,166812.00,137692.00,29331.00,6476.00
"St. Cloud, MN",898.00,45.00,227.00,563.00,16.00,31.00,203089.00,38678.00,40618.00,8452.00,1815.00
"St. Joseph, MI",393.00,20.00,238.00,316.00,9.00,14.00,110235.00,26066.00,22047.00,4684.00,1031.00
"St. Louis, MO",10187.00,1180.00,4326.00,7257.00,547.00,864.00,2666497.00,532142.00,533299.00,111438.00,24055.00
"St. Paul, MN",1604.00,183.00,582.00,1093.00,48.00,116.00,856536.00,148362.00,171307.00,35367.00,7523.00
"St. Petersburg, FL",1424.00,139.00,613.00,1018.00,33.00,86.00,354891.00,90670.00,70978.00,15209.00,3381.00
"Stockton, CA",918.00,121.00,329.00,623.00,41.00,81.00,464979.00,77159.00,92996.00,19135.00,4054.00
"Sun City, AZ",845.00,119.00,364.00,604.00,81.00,100.00,237503.00,104547.00,47501.00,11012.00,2658.00
"Syracuse, NY",3062.00,243.00,950.00,2006.00,77.00,160.00,832908.00,165881.00,166582.00,34802.00,7511.00
"Tacoma, WA",1388.00,197.00,366.00,877.00,62.00,129.00,642251.00,109410.00,128450.00,26484.00,5624.00
"Takoma Park, MD",1181.00,150.00,294.00,738.00,48.00,99.00,789639.00,122832.00,157928.00,32340.00,6810.00
"Tallahassee, FL",2242.00,193.00,603.00,1423.00,50.00,122.00,668985.00,118753.00,133797.00,27678.00,5902.00
"Tampa, FL",4005.00,515.00,1289.00,2647.00,165.00,340.00,1170264.00,218181.00,234053.00,48616.00,10418.00
"Temple, TX",985.00,162.00,390.00,688.00,50.00,106.00,409683.00,59971.00,81937.00,16707.00,3499.00
"Terre Haute, IN",468.00,64.00,207.00,337.00,37.00,50.00,140148.00,28559.00,28030.00,5868.00,1270.00
"Texarkana, AR",656.00,90.00,383.00,519.00,62.00,76.00,198305.00,43677.00,39661.00,8365.00,1826.00
"Toledo, OH",2679.00,456.00,1122.00,1900.00,179.00,317.00,767671.00,155817.00,153534.00,32132.00,6949.00
"Topeka, KS",1304.00,112.00,594.00,949.00,49.00,80.00,352693.00,68579.00,70539.00,14705.00,3165.00
"Traverse City, MI",756.00,26.00,293.00,525.00,7.00,17.00,189619.00,52436.00,37924.00,8202.00,1842.00
"Tucson, AZ",2677.00,335.00,1184.00,1930.00,161.00,248.00,971119.00,232066.00,194224.00,41312.00,9106.00
"Tulsa, OK",4185.00,486.00,1783.00,2984.00,159.00,323.00,1070712.00,213442.00,214142.00,44742.00,9657.00
"Tupelo, MS",1634.00,104.00,818.00,1226.00,61.00,83.00,308796.00,61185.00,61759.00,12897.00,2782.00
"Tuscaloosa, AL",1066.00,143.00,297.00,681.00,37.00,90.00,215194.00,37920.00,43039.00,8898.00,1896.00
"Tyler, TX",1338.00,224.00,527.00,932.00,127.00,176.00,437181.00,98736.00,87436.00,18489.00,4048.00
"Urbana, IL",1047.00,99.00,480.00,764.00,54.00,77.00,361763.00,69031.00,72353.00,15059.00,3235.00
"Ventura, CA",1087.00,163.00,278.00,682.00,94.00,128.00,669683.00,124579.00,133937.00,27815.00,5959.00
"Victoria, TX",574.00,46.00,352.00,463.00,18.00,32.00,115052.00,25536.00,23010.00,4857.00,1061.00
"Waco, TX",720.00,60.00,261.00,490.00,24.00,42.00,264389.00,54218.00,52878.00,11077.00,2398.00
"Washington, DC",5055.00,601.00,1595.00,3325.00,218.00,409.00,2179021.00,378878.00,435804.00,90001.00,19152.00
"Waterloo, IA",668.00,36.00,340.00,504.00,19.00,28.00,167837.00,36303.00,33567.00,7067.00,1539.00
"Wausau, WI",403.00,72.00,152.00,278.00,45.00,59.00,150679.00,36287.00,30136.00,6415.00,1415.00
"White Plains, NY",2973.00,243.00,597.00,1785.00,137.00,190.00,896882.00,178478.00,179376.00,37473.00,8086.00
"Wichita Falls, TX",516.00,24.00,298.00,407.00,8.00,16.00,154615.00,31786.00,30923.00,6479.00,1403.00
"Wichita, KS",4590.00,442.00,2225.00,3407.00,202.00,322.00,951715.00,198669.00,190343.00,39940.00,8664.00
"Wilkes-Barre, PA",651.00,102.00,263.00,457.00,24.00,63.00,198135.00,47118.00,39627.00,8424.00,1856.00
"Wilmington, DE",1845.00,237.00,601.00,1223.00,62.00,149.00,637120.00,120121.00,127424.00,26493.00,5684.00
"Wilmington, NC",1005.00,90.00,251.00,628.00,17.00,54.00,385088.00,91585.00,77018.00,16374.00,3607.00
"Winchester, VA",1051.00,84.00,357.00,704.00,22.00,53.00,350240.00,74330.00,70048.00,14721.00,3200.00
"Winston-Salem, NC",2870.00,499.00,843.00,1857.00,40.00,269.00,899862.00,197294.00,179972.00,37943.00,8278.00
"Worcester, MA",1525.00,169.00,425.00,975.00,43.00,106.00,652386.00,122123.00,130477.00,27111.00,5812.00
"Yakima, WA",369.00,58.00,200.00,285.00,33.00,45.00,220972.00,40707.00,44194.00,9170.00,1963.00
"York, PA",868.00,79.00,267.00,567.00,8.00,43.00,343334.00,73773.00,68667.00,14448.00,3145.00
"Youngstown, OH",1555.00,158.00,543.00,1049.00,66.00,112.00,493628.00,124167.00,98726.00,21117.00,4685.00
